1.000	3	3
0.100	3	12
0.100	3	48
0.100	3	192
0.100	3	768
0.100	3	3072
0.700	5	5
0.800	6	6
-0.100	6	9
2.500	7	7
0.100	7	52
0.100	7	196
0.100	7	772
0.100	7	3076
-0.100	9	6
0.800	9	9
0.700	10	10
2.500	11	11
0.100	11	56
0.100	11	200
0.100	11	776
0.100	11	3080
0.100	12	3
1.000	12	12
0.100	12	48
0.100	12	192
0.100	12	768
0.100	12	3072
2.500	13	13
0.100	13	49
0.100	13	193
0.100	13	769
0.100	13	3073
2.500	14	14
0.100	14	50
0.100	14	194
0.100	14	770
0.100	14	3074
5.000	15	15
0.100	15	51
0.100	15	60
0.100	15	195
0.100	15	204
0.100	15	771
0.100	15	780
0.100	15	3075
0.100	15	3084
0.700	17	17
0.800	18	18
-0.100	18	33
2.500	19	19
0.100	19	28
0.100	19	208
0.100	19	784
0.100	19	3088
0.700	20	20
2.100	21	21
2.300	22	22
-0.100	22	25
-0.100	22	37
4.700	23	23
0.100	23	212
0.100	23	788
0.100	23	3092
0.800	24	24
-0.100	24	36
-0.100	25	22
2.300	25	25
-0.100	25	37
2.300	26	26
-0.100	26	38
-0.100	26	41
4.800	27	27
-0.100	27	39
0.100	27	216
0.100	27	792
0.100	27	3096
0.100	28	19
2.500	28	28
0.100	28	208
0.100	28	784
0.100	28	3088
4.700	29	29
0.100	29	209
0.100	29	785
0.100	29	3089
4.800	30	30
-0.100	30	45
0.100	30	210
0.100	30	786
0.100	30	3090
8.000	31	31
0.100	31	211
0.100	31	220
0.100	31	787
0.100	31	796
0.100	31	3091
0.100	31	3100
-0.100	33	18
0.800	33	33
0.700	34	34
2.500	35	35
0.100	35	44
0.100	35	224
0.100	35	800
0.100	35	3104
-0.100	36	24
0.800	36	36
-0.100	37	22
-0.100	37	25
2.300	37	37
-0.100	38	26
2.300	38	38
-0.100	38	41
-0.100	39	27
4.800	39	39
0.100	39	228
0.100	39	804
0.100	39	3108
0.700	40	40
-0.100	41	26
-0.100	41	38
2.300	41	41
2.100	42	42
4.700	43	43
0.100	43	232
0.100	43	808
0.100	43	3112
0.100	44	35
2.500	44	44
0.100	44	224
